LD1, LD2,class
3.337477,0.497289,0.0
3.773431,0.857224,0.0
2.256201,-0.041527,0.0
2.902931,-0.708733,0.0
3.620599,0.327299,0.0
3.90406,-0.353307,0.0
4.082256,0.223555,0.0
4.660851,0.0239,0.0
4.744461,-0.231344,0.0
3.966078,0.523,0.0
4.526218,-0.129248,0.0
3.877471,1.373913,0.0
4.8078,1.148257,0.0
3.630871,0.849454,0.0
5.124781,-0.304666,0.0
5.843378,0.187686,0.0
4.691275,-0.155906,0.0
3.490981,-0.423676,0.0
4.785751,0.500641,0.0
4.997738,0.439209,0.0
3.898354,0.891082,0.0
4.407701,0.338895,0.0
4.971825,0.108937,0.0
4.634139,0.819624,0.0
4.343963,0.803634,0.0
3.429133,0.621238,0.0
4.090145,-0.088819,0.0
4.045798,-0.220062,0.0
4.152235,0.602786,0.0
3.796385,0.389474,0.0
3.418002,1.182726,0.0
3.082839,0.072875,0.0
3.876338,-0.719415,0.0
3.572587,-0.296812,0.0
2.460686,0.606427,0.0
3.051761,-0.517195,0.0
4.238223,-0.671067,0.0
4.424153,-1.198813,0.0
2.013982,1.800679,0.0
1.618283,2.69956,0.0
2.486575,1.629597,0.0
3.051525,1.551322,0.0
2.271398,2.368076,0.0
3.084193,4.250226,0.0
2.782425,3.02154,0.0
2.228778,2.436261,0.0
2.667991,4.010571,0.0
2.944262,3.867631,0.0
2.955684,4.076646,0.0
2.850638,4.091642,0.0
2.478848,4.296246,0.0
4.029749,3.368035,0.0
3.282335,4.131691,0.0
3.315277,3.555747,0.0
3.662264,3.404495,0.0
4.687346,2.389915,0.0
3.857074,2.815061,0.0
2.304081,1.955533,0.0
3.390299,3.711534,0.0
2.560103,2.703669,0.0
2.362757,2.058367,0.0
1.784754,1.303885,0.0
1.537047,0.546144,0.0
2.583629,1.210439,0.0
1.497157,0.910557,0.0
1.890395,1.795703,0.0
2.172467,1.336189,0.0
1.871763,4.231953,0.0
0.654632,2.774509,0.0
0.824393,3.456069,0.0
0.727726,4.017777,0.0
0.085717,3.729457,0.0
0.381366,3.984438,0.0
0.242228,3.647175,0.0
-0.116627,3.291994,0.0
0.357188,3.737161,0.0
0.550969,3.649208,0.0
0.092626,3.435785,0.0
0.782958,3.46366,0.0
-0.211225,3.632908,0.0
-0.015713,3.107081,0.0
0.664471,3.744504,0.0
0.545727,3.725603,0.0
0.704279,3.915347,0.0
0.908899,3.118972,0.0
1.498118,3.042295,0.0
0.767244,3.326985,0.0
0.885215,3.198785,0.0
0.817823,3.422397,0.0
0.130387,2.851537,0.0
0.287809,2.993465,0.0
0.027161,3.264599,0.0
-0.12269,2.310623,0.0
0.020791,3.235959,0.0
-0.34191,2.986444,0.0
0.140784,3.291348,0.0
1.705638,2.629986,0.0
-0.318362,3.581466,0.0
0.482293,3.381402,0.0
1.160915,2.973681,0.0
-0.414774,3.182199,0.0
3.066157,1.695061,0.0
2.122239,2.020215,0.0
1.485189,2.424266,0.0
2.367778,3.474063,0.0
1.34161,3.357189,0.0
1.673074,2.754625,0.0
3.419801,3.692027,0.0
3.666041,3.460286,0.0
3.186533,3.910555,0.0
3.100324,4.270106,0.0
3.910518,3.899703,0.0
2.798705,3.83279,0.0
2.816368,3.079396,0.0
5.334476,4.535307,0.0
4.234133,4.231306,0.0
2.459205,2.513291,0.0
2.908665,3.910779,0.0
3.338801,3.904906,0.0
2.4281,3.356875,0.0
1.964802,3.491797,0.0
2.104382,2.64367,0.0
3.014152,3.022346,0.0
3.987341,3.932596,0.0
2.446745,1.880709,0.0
2.985488,3.388673,0.0
2.546547,3.78869,0.0
2.49297,2.190571,0.0
3.193962,2.978318,0.0
1.894145,3.030012,0.0
2.708215,3.826485,0.0
2.556984,2.93294,0.0
2.252381,3.417489,0.0
2.93174,2.389818,0.0
4.149737,2.753737,0.0
2.786527,3.265019,0.0
2.52076,3.429812,0.0
2.539347,2.560982,0.0
2.273782,2.14236,0.0
1.856496,2.268442,0.0
2.349886,2.876368,0.0
2.575613,2.439944,0.0
1.855557,2.134384,0.0
2.275001,3.065518,0.0
2.555545,2.707323,0.0
2.65838,2.738701,0.0
2.936318,3.011475,0.0
2.767208,3.190969,0.0
2.919092,3.750566,0.0
2.033208,2.432559,0.0
3.247408,2.767041,0.0
3.724107,3.822122,0.0
3.779667,5.110549,0.0
3.02257,3.040309,0.0
3.076669,3.419609,0.0
4.23657,4.248579,0.0
3.69581,4.006067,0.0
3.950559,5.323452,0.0
3.560898,4.638784,0.0
2.592794,4.484475,0.0
2.396664,5.325761,0.0
3.531369,4.935354,0.0
5.473912,5.171917,0.0
5.094431,5.199598,0.0
2.968086,2.013636,0.0
4.008853,2.449768,0.0
2.909567,2.83731,0.0
2.199092,1.057415,0.0
3.013668,1.426657,0.0
1.728327,2.237623,0.0
3.040816,3.514012,0.0
3.179165,2.8732,0.0
2.630909,2.952988,0.0
3.777428,3.739685,0.0
3.833663,4.056002,0.0
2.456056,2.259796,0.0
4.283163,1.270012,0.0
3.172676,3.178818,0.0
2.821621,2.076584,0.0
3.107406,2.976139,0.0
2.591461,2.432251,0.0
3.075137,3.487739,0.0
1.849383,2.939824,0.0
3.468728,2.385817,0.0
2.040918,3.073963,0.0
1.563855,3.482965,0.0
2.885566,1.275206,0.0
2.551115,3.299292,0.0
3.129798,4.270801,0.0
3.348753,3.949961,0.0
3.323062,3.550807,0.0
3.303956,1.506575,0.0
3.545086,1.49759,0.0
4.488065,2.751361,0.0
3.4828,3.752056,0.0
4.000559,3.320537,0.0
6.173006,3.187408,0.0
4.331512,2.505776,0.0
5.322044,2.735819,0.0
4.103451,2.797469,0.0
5.187791,4.438324,0.0
3.137113,2.896195,0.0
4.344943,4.016063,0.0
4.805428,3.631379,0.0
5.448384,2.842985,0.0
4.394374,3.343688,0.0
4.372898,2.393058,0.0
4.183264,2.114263,0.0
4.283792,2.241914,0.0
4.719566,3.001269,0.0
3.754938,3.970995,0.0
3.505546,3.966019,0.0
3.517949,3.234046,0.0
3.141641,2.282343,0.0
4.367462,3.750649,0.0
3.501359,3.481973,0.0
4.239028,3.1123,0.0
3.827096,3.598766,0.0
3.557426,2.665521,0.0
4.385105,2.127574,0.0
2.657513,1.956137,0.0
4.303273,2.763508,0.0
4.380353,2.314482,0.0
3.404293,1.360058,0.0
3.56809,1.87638,0.0
2.065871,2.123557,0.0
3.921036,1.876838,0.0
2.744135,2.652928,0.0
2.412206,2.994819,0.0
2.979833,2.85259,0.0
2.527844,4.340156,0.0
3.037981,3.393574,0.0
4.227384,1.910416,0.0
3.892905,2.010762,0.0
4.076054,1.618983,0.0
4.39283,0.744011,0.0
5.139392,0.90485,0.0
4.443343,1.652848,0.0
3.862145,0.197633,0.0
2.690504,1.318835,0.0
3.68491,1.710582,0.0
4.675741,1.500733,0.0
4.231869,0.930992,0.0
4.500459,1.432565,0.0
3.95972,1.019736,0.0
4.804061,1.968022,0.0
3.965036,2.47161,0.0
4.117788,2.663899,0.0
4.112877,3.855561,0.0
5.218932,2.735554,0.0
2.244171,1.828383,0.0
2.88661,1.238361,0.0
3.886636,2.045685,0.0
3.226785,1.921408,0.0
4.534145,2.553002,0.0
2.724922,3.643432,0.0
2.844751,3.228376,0.0
3.757201,5.100794,0.0
3.514106,3.755273,0.0
3.639088,2.929871,0.0
2.931996,2.755827,0.0
3.111907,2.124512,0.0
4.29043,1.223257,0.0
4.581143,1.049861,0.0
3.670973,2.6071,0.0
4.128657,1.021148,0.0
3.723805,1.469756,0.0
4.644599,1.152617,0.0
3.711345,1.808798,0.0
3.232737,2.260629,0.0
3.142043,1.520944,0.0
3.352576,2.777318,0.0
4.422192,1.279559,0.0
5.327327,3.603205,0.0
4.697905,1.658855,0.0
3.172654,2.152547,0.0
4.924949,3.093317,0.0
4.128249,2.108059,0.0
3.582498,3.07999,0.0
4.771167,2.308335,0.0
4.095888,1.469441,0.0
4.527488,1.780835,0.0
3.826125,2.044631,0.0
4.559605,1.466088,0.0
4.387595,2.811224,0.0
6.282415,1.076046,0.0
4.403955,1.217719,0.0
3.640097,0.567256,0.0
3.077077,0.532032,0.0
3.008812,0.142528,0.0
3.49677,2.380753,0.0
2.318986,3.652178,0.0
2.712879,2.886921,0.0
2.596962,3.179812,0.0
3.057588,3.461522,0.0
2.165678,3.802731,0.0
2.832568,4.130764,0.0
2.501957,2.840195,0.0
1.680669,3.152256,0.0
3.099171,3.860504,0.0
1.083818,6.507972,0.0
1.542673,5.435716,0.0
1.129487,4.602623,0.0
0.834097,4.771455,0.0
1.243503,2.624785,0.0
2.248769,3.799046,0.0
1.235263,2.991158,0.0
1.129133,2.387775,0.0
1.681248,2.719355,0.0
2.496913,3.7516,0.0
2.365485,4.001635,0.0
2.600347,3.928018,0.0
2.47496,4.411999,0.0
2.717895,4.221529,0.0
2.350318,3.835841,0.0
2.592686,3.78886,0.0
3.73042,4.283294,0.0
2.900978,4.44929,0.0
2.490828,4.283895,0.0
2.64061,4.608875,0.0
2.821096,5.090396,0.0
2.594933,4.943536,0.0
2.751744,5.699126,0.0
2.778997,4.371669,0.0
2.566272,5.722417,0.0
1.578747,4.513588,0.0
2.61074,4.446583,0.0
3.518454,4.52912,0.0
2.382353,4.078003,0.0
2.303609,4.772085,0.0
2.439132,4.593982,0.0
2.620825,4.208736,0.0
2.567781,5.759948,0.0
2.187055,4.760897,0.0
2.649966,3.242671,0.0
2.594084,3.598882,0.0
2.32013,3.383721,0.0
2.583284,2.886392,0.0
2.42179,3.052431,0.0
2.336429,3.530889,0.0
2.740031,3.79141,0.0
1.898552,3.213959,0.0
2.772159,2.305367,0.0
2.292509,3.588398,0.0
1.931095,2.842694,0.0
2.226657,3.570106,0.0
2.784831,2.895322,0.0
2.180426,3.210101,0.0
2.493223,3.304286,0.0
1.222301,3.581891,0.0
1.481336,3.071812,0.0
2.781468,3.836656,0.0
2.542937,3.291278,0.0
3.311177,1.930709,0.0
4.183719,2.464415,0.0
2.739759,2.219773,0.0
3.201182,2.199575,0.0
2.17594,2.479143,0.0
2.711071,2.493037,0.0
3.990781,1.497469,0.0
1.846256,2.00977,0.0
2.39895,2.488551,0.0
2.519744,2.072715,0.0
2.257382,2.383188,0.0
2.224238,3.407271,0.0
2.461117,2.855029,0.0
2.887872,3.529723,0.0
3.323443,4.152518,0.0
1.843153,3.929697,0.0
3.040493,2.718036,0.0
3.490577,2.91727,0.0
2.023287,3.078545,0.0
2.061031,3.413021,0.0
2.318241,2.869451,0.0
2.787351,2.706097,0.0
1.043379,1.503503,0.0
1.906405,1.021989,0.0
1.146662,1.365813,0.0
1.856468,1.240212,0.0
1.015513,2.367912,0.0
1.433069,2.751097,0.0
1.064754,2.015661,0.0
1.836291,1.841336,0.0
2.825963,2.194961,0.0
0.486882,2.64563,0.0
1.144406,2.373235,0.0
2.055143,2.707996,0.0
2.343498,3.024582,0.0
0.982661,2.098183,0.0
1.336551,0.878826,0.0
1.124623,1.086374,0.0
0.786497,1.816414,0.0
1.434579,0.601805,0.0
0.377681,2.632333,0.0
0.682384,1.27949,0.0
2.229452,2.495481,0.0
2.646125,1.397508,0.0
1.400155,2.933981,0.0
1.350651,1.969458,0.0
1.163572,3.215039,0.0
0.927809,2.583019,0.0
1.488646,1.456863,0.0
1.75532,1.730198,0.0
1.371369,3.317633,0.0
