LD1, LD2,class
-0.34652,3.62081,0.0
-0.51712,2.67972,0.0
-1.82865,4.34861,0.0
-2.49632,4.2076,0.0
-1.69873,3.59836,0.0
-1.27262,4.39577,0.0
-2.36553,4.35996,0.0
-1.35465,4.49233,0.0
-1.40371,2.54638,0.0
-2.98672,4.5502,0.0
-2.05415,3.56846,0.0
-1.289,2.51431,0.0
-1.35668,3.92651,0.0
-1.24929,3.80699,0.0
-0.57127,3.88766,0.0
-0.61559,4.47993,0.0
-1.03873,2.74196,0.0
-2.35099,3.69144,0.0
-2.66553,4.17221,0.0
-2.70267,2.94504,0.0
-2.61819,3.55801,0.0
-2.26722,3.92228,0.0
-2.23218,2.45207,0.0
-2.05428,3.05706,0.0
-1.8828,3.51464,0.0
-1.81359,3.59235,0.0
-2.29586,3.03506,0.0
-1.47584,3.39291,0.0
-2.23644,3.24254,0.0
-2.73411,3.41887,0.0
-1.66131,3.39816,0.0
-1.74071,3.51529,0.0
-1.22029,2.85095,0.0
-0.93363,1.89821,0.0
-1.4522,2.24903,0.0
-1.66563,2.87177,0.0
-2.10601,2.75819,0.0
-1.28783,2.01712,0.0
-1.16773,2.8255,0.0
-2.00697,2.79522,0.0
-1.61384,2.9009,0.0
-1.9193,2.79684,0.0
-1.68637,3.40886,0.0
-2.21823,3.4425,0.0
-0.99652,2.1017,0.0
-2.36988,2.91611,0.0
-2.22276,3.74297,0.0
-1.56681,5.94827,0.0
-2.0568,2.90434,0.0
-1.9438,3.31434,0.0
-2.5762,4.62855,0.0
-2.70854,4.46385,0.0
-1.56622,5.50865,0.0
-1.24791,4.72019,0.0
-0.83004,4.61888,0.0
-0.54416,5.46531,0.0
-1.7635,5.19593,0.0
-3.19388,5.65766,0.0
-2.46077,5.45309,0.0
-0.36698,1.9743,0.0
-2.53108,2.33648,0.0
-1.41149,2.24245,0.0
-0.87628,0.41267,0.0
-1.29065,0.75857,0.0
0.47973,1.93415,0.0
0.18487,3.20851,0.0
0.19919,2.55538,0.0
-0.2328,2.63959,0.0
-0.93832,4.00417,0.0
-0.61897,3.50221,0.0
-0.60311,2.3543,0.0
-2.91847,1.31176,0.0
-0.89489,3.16986,0.0
-0.54602,2.09659,0.0
-1.08366,2.75659,0.0
-0.363,2.25948,0.0
-0.18711,3.23039,0.0
-0.313,2.86952,0.0
-1.20313,2.82853,0.0
-0.43283,3.01002,0.0
-0.22357,3.12801,0.0
-1.22506,0.97342,0.0
-0.22755,3.23452,0.0
-0.75683,4.66352,0.0
-1.31588,3.80406,0.0
-1.58947,4.87556,0.0
-2.7366,1.62494,0.0
-2.50502,1.01526,0.0
-3.37518,3.00583,0.0
-2.09667,3.57499,0.0
-2.72348,3.38234,0.0
-3.93946,3.64614,0.0
-2.90012,2.46665,0.0
-3.93866,2.68929,0.0
-3.21557,2.41269,0.0
-3.43842,3.80743,0.0
-2.37423,3.20976,0.0
-3.76124,4.58069,0.0
-3.53865,4.46603,0.0
-5.43361,4.0095,0.0
-4.13482,3.67953,0.0
-3.54503,3.86239,0.0
-4.10076,3.2429,0.0
-3.15291,3.54606,0.0
-3.67474,3.94833,0.0
-2.77857,4.30132,0.0
-2.43531,4.73515,0.0
-2.4096,3.87168,0.0
-2.74987,3.57513,0.0
-3.99949,4.74033,0.0
-3.16999,4.6367,0.0
-3.99653,3.62612,0.0
-3.24354,3.68526,0.0
-2.71744,2.99622,0.0
-3.96278,2.9304,0.0
-2.26611,2.25736,0.0
-3.36569,3.29179,0.0
-3.01476,2.22915,0.0
-3.51081,2.13289,0.0
-2.78918,2.65591,0.0
-1.6212,2.55566,0.0
-2.79184,2.58568,0.0
-0.64529,2.59412,0.0
-1.31465,3.60632,0.0
-2.0981,2.46646,0.0
-1.34922,4.77975,0.0
-2.21203,2.48925,0.0
-3.70901,1.34098,0.0
-2.79077,1.60521,0.0
-3.67567,1.99001,0.0
-3.33863,0.54134,0.0
-4.49232,1.23631,0.0
-3.77942,1.19763,0.0
-3.0651,0.30832,0.0
-1.99437,1.75567,0.0
-2.64345,1.62358,0.0
-3.93787,1.79836,0.0
-4.08279,1.26987,0.0
-3.79717,0.98917,0.0
-3.4376,0.76606,0.0
-4.33382,1.66204,0.0
-2.76562,1.87572,0.0
-3.34302,2.62705,0.0
-3.20975,4.98183,0.0
-4.57484,2.40134,0.0
-1.71511,1.47583,0.0
-2.73563,0.17709,0.0
-3.00352,1.44913,0.0
-2.38187,1.10599,0.0
-4.37327,2.54782,0.0
-1.71228,3.57541,0.0
-2.0981,2.76839,0.0
-2.51441,5.57602,0.0
-1.36747,3.83923,0.0
-2.92718,2.49674,0.0
-2.68733,2.38924,0.0
-3.39139,1.92627,0.0
-3.95687,0.96719,0.0
-3.93207,1.4397,0.0
-2.38551,2.11208,0.0
-4.08262,1.73873,0.0
-3.39188,1.48247,0.0
-3.22472,0.47913,0.0
-3.07309,1.73973,0.0
-2.49675,1.78997,0.0
-2.27009,1.19594,0.0
-2.03894,3.75239,0.0
-3.41112,1.27409,0.0
-3.41312,3.72973,0.0
-3.40286,1.37528,0.0
-2.05085,2.79691,0.0
-2.60506,3.8454,0.0
-3.76047,2.17137,0.0
-1.36468,3.63485,0.0
-3.42416,2.31181,0.0
-3.6071,1.45187,0.0
-2.98055,2.1553,0.0
-2.60396,1.37372,0.0
-3.05961,0.9606,0.0
-3.218,2.38651,0.0
-5.21619,0.43638,0.0
-3.81406,0.14889,0.0
-3.18656,-0.65088,0.0
-2.60994,-0.82008,0.0
-3.22559,-1.1364,0.0
-0.99901,2.43195,0.0
-0.30442,3.81455,0.0
-0.24433,3.34487,0.0
-1.30945,4.36581,0.0
-1.09011,4.80115,0.0
-0.35026,4.84796,0.0
-1.35145,5.4111,0.0
-0.75272,3.82736,0.0
-0.44457,4.54003,0.0
-0.38237,5.45829,0.0
1.37268,7.46512,0.0
1.0018,6.87187,0.0
-0.17631,5.5468,0.0
1.16222,5.88185,0.0
0.21253,3.95699,0.0
-0.091,4.5808,0.0
0.2358,3.59192,0.0
-0.27175,3.06162,0.0
-0.84565,4.00207,0.0
-1.1724,5.16101,0.0
-0.80597,4.70606,0.0
-0.66898,4.84098,0.0
-0.68043,4.79438,0.0
-1.20805,5.13718,0.0
-0.76606,4.66372,0.0
-0.8971,4.40207,0.0
-1.63203,5.20057,0.0
-1.02797,5.03812,0.0
-1.36091,5.0709,0.0
-0.78173,4.83241,0.0
-1.00837,5.26245,0.0
-0.91961,5.13212,0.0
-0.76864,6.15259,0.0
-1.28027,5.13019,0.0
-0.79957,5.97128,0.0
0.15465,4.85622,0.0
-0.88141,4.84682,0.0
-1.12851,5.11932,0.0
-0.26804,4.76676,0.0
-0.46865,5.14342,0.0
-0.66631,5.12831,0.0
-0.69175,5.15717,0.0
