LD1, LD2,class
3.283653,1.342758,0.0
1.995003,1.903734,0.0
3.521178,2.9018,0.0
3.752396,2.342067,0.0
2.860868,2.647591,0.0
4.488338,3.030999,0.0
4.658235,3.481423,0.0
3.029003,1.833498,0.0
4.617729,1.060082,0.0
3.507532,2.842952,0.0
3.269454,1.717577,0.0
3.492456,2.644914,0.0
2.867126,2.183928,0.0
3.730638,3.040747,0.0
2.507778,2.567789,0.0
3.744684,2.074379,0.0
2.277881,2.722087,0.0
1.937238,3.157875,0.0
3.308054,1.137063,0.0
3.035241,2.953903,0.0
3.51956,3.760752,0.0
3.917963,3.54272,0.0
3.582975,3.16907,0.0
3.741638,1.430647,0.0
4.297687,1.291743,0.0
5.347322,2.370764,0.0
4.16836,3.44895,0.0
4.71091,2.958269,0.0
6.904677,2.595677,0.0
4.791465,2.128933,0.0
5.920362,2.355832,0.0
4.532878,2.6115,0.0
6.044661,3.974482,0.0
3.25173,2.73706,0.0
4.728672,3.675139,0.0
5.35984,3.139898,0.0
5.57173,2.555645,0.0
4.802842,3.111121,0.0
4.58487,1.887221,0.0
4.481384,1.691884,0.0
4.514417,1.811814,0.0
5.243789,2.33795,0.0
4.111773,3.479497,0.0
3.765179,3.43845,0.0
3.849451,2.758782,0.0
3.301188,1.92878,0.0
4.639152,3.34349,0.0
3.775847,3.016119,0.0
4.563892,2.744947,0.0
4.021736,3.249309,0.0
3.665052,2.400683,0.0
4.425719,1.752755,0.0
2.810338,1.679226,0.0
4.512734,2.348898,0.0
4.392783,2.171081,0.0
3.452434,1.158598,0.0
3.470143,1.616754,0.0
2.205347,1.902288,0.0
4.094723,1.536075,0.0
3.269225,2.34698,0.0
2.631333,2.497203,0.0
3.395915,2.575369,0.0
2.750566,3.705551,0.0
3.305403,3.28623,0.0
4.425466,1.727187,0.0
4.413824,1.625088,0.0
4.592053,1.078816,0.0
4.861173,0.338363,0.0
5.571421,0.522021,0.0
4.651309,1.362006,0.0
4.257011,-0.033066,0.0
2.976627,0.917934,0.0
4.250732,1.406549,0.0
4.884612,1.079957,0.0
4.595558,0.610352,0.0
4.731437,1.172609,0.0
4.320502,0.786159,0.0
5.389895,1.599337,0.0
4.684056,2.057799,0.0
4.81882,2.210482,0.0
4.233351,3.165939,0.0
5.578087,2.415784,0.0
2.442819,1.610595,0.0
3.245998,1.1389,0.0
4.470732,1.751235,0.0
3.85018,1.623496,0.0
4.992704,2.277596,0.0
3.017546,3.229911,0.0
3.026946,2.952268,0.0
4.335874,4.320151,0.0
4.175618,3.132428,0.0
4.233157,2.639074,0.0
3.519106,2.476505,0.0
3.852848,1.838318,0.0
5.085326,0.98216,0.0
4.952086,0.68515,0.0
