LD1, LD2,class
-2.66228,4.30923,0.0
-3.39515,4.12512,0.0
-2.98978,3.43266,0.0
-2.25376,4.33212,0.0
-3.31721,4.27577,0.0
-2.18146,4.47426,0.0
-2.64803,2.35686,0.0
-4.66255,4.44518,0.0
-3.69269,3.47802,0.0
-2.33544,2.38344,0.0
-2.64989,3.87777,0.0
-2.8394,3.69163,0.0
-1.54096,3.9264,0.0
-1.15419,4.49121,0.0
-1.82836,2.67096,0.0
-3.0239,3.5708,0.0
-4.08833,4.00274,0.0
-3.08815,2.7265,0.0
-3.34379,3.30099,0.0
-3.01449,3.61765,0.0
-3.06954,2.22451,0.0
-3.20731,2.90797,0.0
-2.25685,3.26443,0.0
-2.55486,3.3809,0.0
-2.76173,2.84825,0.0
-2.11535,3.21527,0.0
-2.54514,3.20073,0.0
-3.56702,3.40416,0.0
-2.64928,3.25394,0.0
-2.70825,3.29385,0.0
-2.23731,2.79033,0.0
-1.99761,1.85726,0.0
-2.09835,2.08008,0.0
-2.23484,2.70557,0.0
-2.80267,2.59568,0.0
-1.70961,1.94897,0.0
-1.66676,2.74384,0.0
-2.59982,2.60267,0.0
-2.23765,2.79183,0.0
-2.59265,2.64955,0.0
-2.31174,3.31103,0.0
-2.82955,3.24063,0.0
-1.57413,1.98261,0.0
-2.84166,2.8088,0.0
-3.1697,3.60859,0.0
-2.36035,5.88746,0.0
-2.71154,2.79537,0.0
-2.87521,3.14326,0.0
-3.58568,4.52685,0.0
-3.86617,4.21991,0.0
-2.7037,5.47159,0.0
-2.39818,4.72149,0.0
-1.94615,4.55016,0.0
-1.84835,5.33152,0.0
-2.97833,5.06035,0.0
-4.60294,5.54063,0.0
-3.97209,5.35564,0.0
-1.30064,2.25001,0.0
-3.60433,2.26774,0.0
-2.1427,2.18947,0.0
-1.66579,0.44676,0.0
-2.27543,0.85712,0.0
-0.35921,2.11468,0.0
-1.17758,3.38671,0.0
-1.36471,2.80403,0.0
-1.11118,2.82673,0.0
-2.40145,4.11022,0.0
-2.51519,3.58825,0.0
-1.68546,2.44746,0.0
-3.82844,1.35268,0.0
-1.8135,3.35138,0.0
-1.67855,2.26581,0.0
-2.09273,2.83558,0.0
-1.27598,2.45637,0.0
-1.70105,3.4081,0.0
-1.42746,2.87455,0.0
-2.0535,3.07333,0.0
-1.02623,3.06836,0.0
-0.95477,3.08434,0.0
-2.31699,1.07936,0.0
-1.32051,3.41064,0.0
-1.65415,4.79651,0.0
-2.498,3.82743,0.0
-2.06342,5.07919,0.0
-3.52975,1.5768,0.0
-3.89792,0.90947,0.0
-4.78145,2.87106,0.0
-3.32937,3.48649,0.0
-3.9513,3.2796,0.0
-5.51306,3.60898,0.0
-3.92042,2.40338,0.0
-5.16705,2.5782,0.0
-4.1222,2.27823,0.0
-5.06459,3.61916,0.0
-2.64063,3.21587,0.0
-4.28985,4.42554,0.0
-4.49278,4.36555,0.0
-5.55475,3.83557,0.0
-4.72001,3.47723,0.0
-3.90193,3.79741,0.0
-4.39573,3.06007,0.0
-3.62045,3.57366,0.0
-4.52509,3.75755,0.0
-3.37161,4.13777,0.0
-2.84891,4.63585,0.0
-3.01038,3.78201,0.0
-2.85644,3.53669,0.0
-4.26497,4.58196,0.0
-3.41315,4.45838,0.0
-4.43716,3.3927,0.0
-3.65956,3.46413,0.0
-3.08733,2.9247,0.0
-4.11076,2.7935,0.0
-2.56934,2.11836,0.0
-3.85991,3.18279,0.0
-3.51135,2.27651,0.0
-3.5342,2.00589,0.0
-2.87015,2.64864,0.0
-1.84418,2.49107,0.0
-3.30159,2.59114,0.0
-1.79149,2.7426,0.0
-1.64885,3.5826,0.0
-2.91366,2.31294,0.0
-1.63771,4.67479,0.0
-2.89197,2.34182,0.0
-4.32802,1.13246,0.0
-3.85769,1.44619,0.0
-4.40428,1.75041,0.0
-4.43612,0.37434,0.0
-5.33651,1.08183,0.0
-4.45801,0.9742,0.0
-3.92172,0.26446,0.0
-2.52152,1.65258,0.0
-3.76343,1.50497,0.0
-4.53299,1.61582,0.0
-4.71911,1.03952,0.0
-4.5293,0.79077,0.0
-4.23262,0.58909,0.0
-5.40807,1.34727,0.0
-4.18346,1.63477,0.0
-4.50756,2.36541,0.0
-3.3415,4.83735,0.0
-5.41867,2.12024,0.0
-2.19916,1.32164,0.0
-3.51274,-0.0962,0.0
-4.13169,1.26018,0.0
-3.58128,0.87865,0.0
-5.10237,2.26873,0.0
-2.28504,3.42534,0.0
-2.541,2.60891,0.0
-3.32927,5.32596,0.0
-2.68336,3.79325,0.0
-3.98788,2.25522,0.0
-3.55884,2.10196,0.0
-4.35225,1.54316,0.0
-5.23431,0.72434,0.0
-4.66558,1.30738,0.0
-3.63263,1.95523,0.0
-4.70547,1.55742,0.0
-4.59454,1.1982,0.0
-5.02368,0.31512,0.0
-4.02613,1.54975,0.0
-3.57761,1.57577,0.0
-3.49828,1.0227,0.0
-2.9928,3.66713,0.0
-4.50752,1.17266,0.0
-4.90709,3.57689,0.0
-4.97099,1.23261,0.0
-2.55363,2.75068,0.0
-3.92193,3.89041,0.0
-4.90454,1.91404,0.0
-2.49678,3.66858,0.0
-5.11363,2.10061,0.0
-4.67122,1.281,0.0
-4.25127,2.06503,0.0
-4.24532,1.15071,0.0
-4.72048,0.7989,0.0
-4.49844,2.17513,0.0
-7.36213,0.21454,0.0
-5.53857,-0.14533,0.0
-4.67052,-0.96956,0.0
-4.26148,-1.07162,0.0
-4.4006,-1.48869,0.0
-2.23536,2.55475,0.0
-1.30985,3.85819,0.0
-1.17018,3.47524,0.0
-1.55372,4.40093,0.0
-1.49301,4.91436,0.0
-0.76377,4.95875,0.0
-1.71904,5.39317,0.0
-0.95505,3.93416,0.0
-0.43586,4.60707,0.0
-0.9825,5.67276,0.0
1.29919,7.51666,0.0
0.99755,7.02615,0.0
0.20907,5.48868,0.0
